iter	Passed	Remaining
0	2	405
1	4	421
2	5	356
3	6	320
4	7	288
5	8	268
6	9	257
7	10	246
8	11	246
9	12	240
10	13	232
11	15	237
12	18	259
13	20	278
14	26	322
15	28	327
16	29	322
17	31	314
18	32	306
19	33	300
20	33	287
21	35	283
22	35	272
23	36	266
24	36	255
25	36	246
26	37	238
27	37	230
28	38	225
29	38	219
30	38	212
31	39	205
32	40	205
33	41	201
34	42	198
35	43	196
36	44	195
37	46	196
38	47	195
39	48	193
40	48	188
41	49	185
42	49	182
43	50	179
44	51	177
45	52	174
46	52	172
47	53	169
48	55	171
49	56	170
50	57	168
51	58	166
52	59	164
53	59	162
54	61	161
55	62	160
56	63	159
57	65	159
58	66	158
59	67	158
60	69	157
61	80	178
62	84	184
63	86	183
64	86	179
65	87	177
66	87	174
67	88	172
68	88	168
69	95	177
70	96	175
71	98	175
72	100	175
73	101	173
74	102	170
75	102	168
76	103	165
77	104	163
78	104	160
79	105	157
80	105	154
81	106	152
82	106	150
83	107	147
84	107	145
85	107	143
86	108	140
87	108	138
88	109	136
89	109	133
90	109	131
91	110	129
92	111	127
93	111	126
94	112	124
95	113	122
96	113	120
97	113	118
98	113	116
99	114	114
100	114	112
101	114	110
102	115	108
103	115	106
104	115	104
105	116	103
106	116	101
107	116	99
108	116	97
109	117	95
110	117	94
111	117	92
112	118	91
113	118	89
114	119	87
115	119	86
116	119	85
117	120	83
118	120	82
119	121	81
120	122	79
121	122	78
122	122	76
123	123	75
124	123	73
125	123	72
126	123	71
127	124	69
128	124	68
129	124	67
130	125	65
131	125	64
132	125	63
133	126	62
134	126	60
135	126	59
136	127	58
137	127	57
138	127	56
139	128	54
140	128	53
141	128	52
142	129	51
143	129	50
144	129	49
145	130	48
146	130	47
147	130	46
148	131	44
149	131	43
150	132	42
151	132	41
152	132	40
153	133	39
154	133	38
155	133	37
156	133	36
157	134	35
158	134	34
159	135	33
160	135	32
161	136	32
162	136	31
163	137	30
164	137	29
165	137	28
166	137	27
167	138	26
168	138	25
169	138	24
170	138	23
171	139	22
172	139	21
173	139	20
174	140	20
175	140	19
176	140	18
177	141	17
178	141	16
179	141	15
180	142	14
181	142	14
182	143	13
183	144	12
184	144	11
185	144	10
186	145	10
187	145	9
188	146	8
189	146	7
190	146	6
191	147	6
192	147	5
193	147	4
194	148	3
195	148	3
196	149	2
197	149	1
198	149	0
199	149	0
