iter	Passed	Remaining
0	2	404
1	3	336
2	5	335
3	7	347
4	9	355
5	10	330
6	11	314
7	12	298
8	13	278
9	13	254
10	14	242
11	15	250
12	16	231
13	16	217
14	17	211
15	17	200
16	17	191
17	18	185
18	19	181
19	19	178
20	21	180
21	21	176
22	23	181
23	24	179
24	24	174
25	25	170
26	26	166
27	26	163
28	26	158
29	27	157
30	28	155
31	29	152
32	30	156
33	31	155
34	32	153
35	33	153
36	35	156
37	37	157
38	39	161
39	40	160
40	41	160
41	42	161
42	44	162
43	49	174
44	50	174
45	52	174
46	56	182
47	58	185
48	59	183
49	62	186
50	63	186
51	64	184
52	66	184
53	66	181
54	67	177
55	68	177
56	73	183
57	74	182
58	78	186
59	78	183
60	78	179
61	79	177
62	81	176
63	81	173
64	82	170
65	83	168
66	85	169
67	86	168
68	87	166
69	87	163
70	88	160
71	88	157
72	89	155
73	89	152
74	90	150
75	90	148
76	92	147
77	94	147
78	95	147
79	97	145
80	98	144
81	100	144
82	102	144
83	103	143
84	105	143
85	107	142
86	108	140
87	110	140
88	111	138
89	112	137
90	114	136
91	116	136
92	117	134
93	119	135
94	125	139
95	129	139
96	131	139
97	133	139
98	135	137
99	136	136
100	138	135
101	139	133
102	140	131
103	141	130
104	141	128
105	142	126
106	142	124
107	143	121
108	144	120
109	144	118
110	145	116
111	145	114
112	146	113
113	147	111
114	150	111
115	151	109
116	151	107
117	156	108
118	159	108
119	160	107
120	162	105
121	163	104
122	163	102
123	166	101
124	167	100
125	169	99
126	169	97
127	170	96
128	171	94
129	172	93
130	174	91
131	174	89
132	175	88
133	177	87
134	177	85
135	178	83
136	179	82
137	179	80
138	180	79
139	183	78
140	184	77
141	184	75
142	185	73
143	186	72
144	187	71
145	188	69
146	188	68
147	189	66
148	190	65
149	192	64
150	193	62
151	193	61
152	194	59
153	195	58
154	200	58
155	201	56
156	202	55
157	203	54
158	204	52
159	205	51
160	206	50
161	208	48
162	208	47
163	209	45
164	210	44
165	211	43
166	214	42
167	216	41
168	217	39
169	219	38
170	220	37
171	221	36
172	223	34
173	225	33
174	225	32
175	226	30
176	227	29
177	232	28
178	233	27
179	234	26
180	234	24
181	236	23
182	236	21
183	237	20
184	239	19
185	239	18
186	240	16
187	240	15
188	241	14
189	242	12
190	242	11
191	243	10
192	247	8
193	248	7
194	248	6
195	249	5
196	250	3
197	251	2
198	251	1
199	253	0
