iter	Passed	Remaining
0	0	60
1	0	61
2	0	64
3	1	66
4	1	66
5	2	68
6	2	66
7	2	63
8	2	61
9	3	61
10	3	62
11	3	62
12	4	60
13	4	60
14	4	60
15	5	60
16	5	61
17	6	61
18	6	61
19	6	61
20	7	64
21	7	63
22	8	62
23	8	60
24	9	66
25	9	65
26	10	64
27	10	63
28	10	62
29	10	61
30	11	60
31	12	64
32	12	63
33	12	62
34	13	61
35	13	60
36	13	60
37	14	60
38	14	59
39	14	58
40	15	58
41	15	58
42	16	60
43	17	61
44	17	61
45	18	60
46	19	62
47	20	63
48	20	63
49	21	64
50	22	64
51	22	65
52	23	65
53	24	64
54	25	66
55	26	67
56	27	68
57	27	67
58	27	66
59	28	65
60	29	66
61	29	65
62	30	67
63	31	67
64	32	67
65	33	67
66	33	66
67	33	65
68	33	64
69	34	64
70	34	63
71	35	63
72	36	63
73	36	62
74	37	62
75	38	63
76	40	64
77	41	65
78	43	66
79	44	67
80	46	67
81	47	68
82	48	68
83	50	69
84	51	70
85	52	70
86	54	70
87	55	70
88	56	70
89	57	70
90	59	71
91	60	71
92	61	71
93	62	70
94	64	70
95	65	71
96	66	70
97	67	70
98	68	69
99	68	68
100	69	67
101	70	68
102	71	67
103	72	67
104	73	66
105	75	66
106	77	67
107	78	66
108	79	66
109	80	65
110	80	64
111	81	63
112	81	63
113	82	62
114	83	61
115	83	60
116	84	59
117	84	58
118	85	58
119	86	57
120	86	56
121	87	56
122	90	56
123	91	55
124	92	55
125	93	54
126	94	54
127	94	53
128	94	52
129	96	51
130	97	51
131	97	50
132	97	49
133	98	48
134	98	47
135	99	46
136	100	46
137	101	45
138	102	45
139	104	44
140	105	44
141	106	43
142	108	43
143	109	42
144	110	42
145	112	41
146	113	40
147	114	40
148	115	39
149	116	38
150	118	38
151	119	37
152	120	37
153	122	36
154	123	35
155	125	35
156	132	36
157	136	36
158	137	35
159	139	34
160	142	34
161	145	34
162	147	33
163	148	32
164	156	33
165	158	32
166	159	31
167	160	30
168	161	29
169	162	28
170	164	27
171	166	27
172	166	26
173	167	24
174	167	23
175	168	22
176	169	22
177	169	20
178	169	19
179	170	18
180	171	17
181	172	17
182	173	16
183	173	15
184	174	14
185	174	13
186	175	12
187	176	11
188	177	10
189	178	9
190	178	8
191	180	7
192	180	6
193	181	5
194	181	4
195	181	3
196	182	2
197	182	1
198	183	0
199	183	0
