iter	Passed	Remaining
0	2	530
1	3	389
2	4	304
3	5	273
4	6	253
5	7	248
6	8	241
7	9	239
8	12	266
9	13	258
10	14	250
11	15	238
12	16	230
13	16	225
14	18	225
15	19	222
16	20	216
17	20	208
18	22	213
19	24	217
20	25	216
21	27	224
22	29	226
23	30	224
24	31	222
25	32	220
26	33	216
27	34	213
28	35	206
29	36	204
30	36	198
31	37	194
32	38	193
33	45	223
34	46	217
35	46	211
36	47	209
37	48	207
38	49	205
39	50	203
40	52	204
41	54	204
42	56	206
43	60	213
44	61	212
45	63	213
46	63	208
47	65	205
48	65	203
49	67	201
50	68	200
51	69	197
52	70	195
53	71	192
54	71	188
55	72	185
56	73	184
57	74	182
58	75	180
59	75	177
60	77	175
61	77	172
62	78	170
63	79	168
64	79	165
65	80	163
66	80	160
67	81	157
68	81	155
69	82	153
70	82	150
71	83	148
72	84	147
73	84	144
74	85	142
75	86	140
76	87	139
77	88	138
78	88	135
79	89	133
80	90	132
81	91	131
82	92	131
83	93	129
84	95	129
85	96	127
86	97	126
87	98	125
88	99	123
89	100	122
90	100	120
91	101	118
92	101	117
93	103	116
94	104	115
95	105	114
96	105	112
97	106	110
98	107	109
99	107	107
100	107	105
101	108	103
102	110	103
103	111	103
104	113	102
105	114	101
106	115	100
107	116	99
108	117	98
109	118	96
110	119	95
111	119	94
112	120	92
113	120	91
114	121	89
115	121	88
116	122	86
117	122	85
118	122	83
119	123	82
120	123	80
121	123	79
122	124	77
123	124	76
124	124	74
125	124	73
126	125	71
127	125	70
128	125	69
129	126	67
130	126	66
131	126	65
132	127	64
133	128	63
134	129	62
135	129	60
136	129	59
137	130	58
138	130	57
139	130	56
140	131	54
141	131	53
142	131	52
143	131	51
144	132	50
145	132	49
146	133	48
147	134	47
148	134	46
149	135	45
150	135	44
151	136	42
152	136	41
153	136	40
154	137	40
155	138	38
156	139	38
157	140	37
158	141	36
159	142	35
160	143	34
161	144	33
162	144	32
163	145	31
164	146	30
165	146	30
166	147	29
167	148	28
168	150	27
169	150	26
170	151	25
171	152	24
172	153	23
173	153	22
174	154	22
175	155	21
176	155	20
177	155	19
178	156	18
179	156	17
180	156	16
181	158	15
182	159	14
183	159	13
184	159	12
185	160	12
186	161	11
187	161	10
188	161	9
189	162	8
190	162	7
191	162	6
192	163	5
193	163	5
194	164	4
195	164	3
196	164	2
197	165	1
198	165	0
199	165	0
