iter	RMSE
0	0.156250189
1	0.1516052097
2	0.1471391262
3	0.143242159
4	0.1397386667
5	0.136713577
6	0.1343758217
7	0.1319929423
8	0.1307559566
9	0.1291903693
10	0.1279678654
11	0.1266687774
12	0.1252295225
13	0.1239277178
14	0.1228400405
15	0.1222016128
16	0.1213301739
17	0.1199746464
18	0.1191622024
19	0.1184805292
20	0.1179003792
21	0.1169717629
22	0.1163380962
23	0.1156036607
24	0.1149305133
25	0.1145353187
26	0.1140466231
27	0.113584085
28	0.1131643821
29	0.1126957635
30	0.1122475823
31	0.1118161216
32	0.1114500046
33	0.1111091249
34	0.1106419928
35	0.1099806236
36	0.1097037291
37	0.1092219794
38	0.1087213831
39	0.1084685297
40	0.1077780932
41	0.107414763
42	0.1069356912
43	0.1064734911
44	0.1063911788
45	0.1060788741
46	0.1056704402
47	0.1052503837
48	0.1049629066
49	0.1043807903
50	0.1040295616
51	0.1037186899
52	0.1037010438
53	0.103613349
54	0.1033336442
55	0.1028945204
56	0.1025709987
57	0.1021183858
58	0.1016808003
59	0.101367336
60	0.1011417717
61	0.101075465
62	0.1008698775
63	0.1006992639
64	0.1005332502
65	0.1002723176
66	0.1000423865
67	0.09979156796
68	0.09959458767
69	0.09936058472
70	0.09924616721
71	0.09904979155
72	0.0988568324
73	0.09874520381
74	0.09836804596
75	0.09822274013
76	0.09809984375
77	0.0977685913
78	0.09755445377
79	0.09741628134
80	0.09714683099
81	0.0969577936
82	0.09687056786
83	0.09676181732
84	0.09649902339
85	0.09629023547
86	0.09622935992
87	0.0960905074
88	0.09596943028
89	0.09589813102
90	0.09561299787
91	0.09523677065
92	0.09510470925
93	0.09499237688
94	0.09473585506
95	0.0946713259
96	0.0945878666
97	0.09443786359
98	0.09439373147
99	0.09408549577
100	0.09398859302
101	0.09392787018
102	0.09343246955
103	0.09318050679
104	0.09296280881
105	0.09267767737
106	0.09231074925
107	0.09191446434
108	0.09151317001
109	0.09130796337
110	0.09126813005
111	0.09123855475
112	0.09098915214
113	0.0906371145
114	0.09036591474
115	0.09000358821
116	0.08979736279
117	0.08957637088
118	0.0892602106
119	0.08904006436
120	0.08886271299
121	0.08884573429
122	0.08851445121
123	0.08826953989
124	0.08781342244
125	0.08753807685
126	0.08703301085
127	0.08651039121
128	0.08649035311
129	0.08614452952
130	0.08603639736
131	0.08579583161
132	0.08547525292
133	0.08533116236
134	0.08531349069
135	0.08516325683
136	0.08486225623
137	0.08460609087
138	0.0845651318
139	0.08437595558
140	0.08422324765
141	0.08392182712
142	0.08378805385
143	0.08354263912
144	0.08315356352
145	0.08303505419
146	0.08287926418
147	0.08259510041
148	0.08229148278
149	0.08216444231
150	0.08187757394
151	0.08186217231
152	0.08165587357
153	0.08125726639
154	0.08097659138
155	0.08066016998
156	0.08052760018
157	0.08039091546
158	0.08005522061
159	0.07987130298
160	0.07966200244
161	0.07952589134
162	0.07940803305
163	0.07893750927
164	0.07869742513
165	0.07863219509
166	0.07847883516
167	0.07845242376
168	0.07823357047
169	0.07806286113
170	0.07785940012
171	0.07762276216
172	0.07739546361
173	0.07722298682
174	0.07716314962
175	0.07694989109
176	0.07676668229
177	0.07654537947
178	0.0765111346
179	0.07637363989
180	0.07624533997
181	0.07612393112
182	0.07592258431
183	0.07575101191
184	0.07560335681
185	0.07548558155
186	0.07536201258
187	0.07532958849
188	0.07496288223
189	0.07493355297
190	0.07459195681
191	0.07450547089
192	0.07425063245
193	0.07398777905
194	0.07379990167
195	0.07351548877
196	0.07326851312
197	0.07294842158
198	0.07284878308
199	0.07262318219
200	0.07245341098
201	0.07225741199
202	0.0720211128
203	0.07199895163
204	0.07177712155
205	0.0715857682
206	0.07152264089
207	0.0714544646
208	0.07134801609
209	0.07109614054
210	0.07074501899
211	0.07066614284
212	0.07062419937
213	0.07039594547
214	0.07018026053
215	0.07003911182
216	0.06990139918
217	0.06956626336
218	0.06937085191
219	0.06914707144
220	0.06890446142
221	0.06860668966
222	0.06855232298
223	0.06845499608
224	0.06845055927
225	0.06818890481
226	0.06817954502
227	0.06804826847
228	0.06777768449
229	0.06741993763
230	0.06729662822
231	0.06720211167
232	0.06714092582
233	0.06696735989
234	0.06683110319
235	0.06664127455
236	0.06660723814
237	0.06658548173
238	0.06643679365
239	0.06621940655
240	0.0659964359
241	0.06591101928
242	0.06580557621
243	0.0657065855
244	0.06560754047
245	0.06544897156
246	0.06534878771
247	0.06529889135
248	0.06508814787
249	0.0649813968
250	0.0648610211
251	0.06485062048
252	0.06470634532
253	0.06461530394
254	0.06437361863
255	0.06436490357
256	0.06417826645
257	0.06400312627
258	0.06399414746
259	0.06388553718
260	0.06376732922
261	0.06356953397
262	0.06328346934
263	0.06320847742
264	0.06319805602
265	0.06311210963
266	0.06299730835
267	0.06281765041
268	0.06273483853
269	0.06261910602
270	0.06249209435
271	0.06225403825
272	0.06205828954
273	0.06184469127
274	0.06172519781
275	0.06149279849
276	0.06141581738
277	0.06125070354
278	0.0610637996
279	0.06084590078
280	0.0606865895
281	0.0604328643
282	0.06033058715
283	0.06028030322
284	0.06025300189
285	0.06001470718
286	0.0598701129
287	0.05972473674
288	0.05956433522
289	0.05952056776
290	0.05933132431
291	0.05912274825
292	0.0590134673
293	0.05889863019
294	0.05878864505
295	0.05852025837
296	0.05837985846
297	0.05821669741
298	0.05799790643
299	0.05799342966
